% Model,spring_stiffness.mph
% Version,COMSOL 6.0.0.318
% Date,"Dec 29 2024, 20:42"
% Table,a_x_sweep_evaluation_group - 
% a_x,Equivalent x stiffness (N/m),Equivalent x compliance (s^2/kg),"Displacement field, X component (µm)"
1,9.082317862887386,0.11010405219203451,0.008978007506783849
6.444444444444445,9.082318372461824,0.11010404601451372,0.05785826735306556
11.88888888888889,9.082318955987589,0.11010403894048912,0.10673852084527427
17.333333333333336,9.082319613769483,0.11010403096626598,0.15561876678418987
22.77777777777778,9.082320381974041,0.11010402165340155,0.2044990031565626
28.22222222222222,9.082321206017363,0.11010401166361129,0.2533792297023257
33.66666666666667,9.082322107674603,0.11010400073291779,0.302259444795248
39.111111111111114,9.08232308694758,0.11010398886129953,0.35113964718213014
44.55555555555556,9.082324143825439,0.11010397604888875,0.40001983561029264
50,9.082325278297603,0.11010396229581426,0.4489000088272775
